structureName,dimension,k,n,time
bucketKNN,7,4,100000,11182849
bucketKNN,7,8,100000,16783682
bucketKNN,7,10,100000,22374425
bucketKNN,7,16,100000,27978155
quadTree,2,2,100,754
quadTree,2,4,100,1561
quadTree,2,8,100,2526
quadTree,2,10,100,3576
quadTree,2,16,100,4752
quadTree,2,2,1000,5644
quadTree,2,4,1000,11467
quadTree,2,8,1000,17994
quadTree,2,10,1000,24998
quadTree,2,16,1000,32508
quadTree,2,2,10000,52170
quadTree,2,4,10000,106349
quadTree,2,8,10000,163159
quadTree,2,10,10000,221021
quadTree,2,16,10000,282103
quadTree,2,2,100000,525312
quadTree,2,4,100000,1060215
quadTree,2,8,100000,1606609
quadTree,2,10,100000,2159410
quadTree,2,16,100000,2716717
kdTree,1,2,100,107
kdTree,1,4,100,480
kdTree,1,8,100,1123
kdTree,1,10,100,1822
kdTree,1,16,100,2487
kdTree,1,2,1000,199
kdTree,1,4,1000,1816
kdTree,1,8,1000,8108
kdTree,1,10,1000,14690
kdTree,1,16,1000,21616
kdTree,1,2,10000,319
kdTree,1,4,10000,4371
kdTree,1,8,10000,50444
kdTree,1,10,10000,106804
kdTree,1,16,10000,170458
kdTree,1,2,100000,450
kdTree,1,4,100000,9580
kdTree,1,8,100000,271511
kdTree,1,10,100000,736758
kdTree,1,16,100000,1377890
kdTree,2,2,100,210
kdTree,2,4,100,545
kdTree,2,8,100,1069
kdTree,2,10,100,1690
kdTree,2,16,100,2470
kdTree,2,2,1000,546
kdTree,2,4,1000,1728
kdTree,2,8,1000,4058
kdTree,2,10,1000,6917
kdTree,2,16,1000,10493
kdTree,2,2,10000,1728
kdTree,2,4,10000,5557
kdTree,2,8,10000,13578
kdTree,2,10,10000,22956
kdTree,2,16,10000,36693
kdTree,2,2,100000,3914
kdTree,2,4,100000,15193
kdTree,2,8,100000,39452
kdTree,2,10,100000,69099
kdTree,2,16,100000,113414
kdTree,3,2,100,277
kdTree,3,4,100,678
kdTree,3,8,100,1291
kdTree,3,10,100,1991
kdTree,3,16,100,2928
kdTree,3,2,1000,878
kdTree,3,4,1000,2271
kdTree,3,8,1000,4340
kdTree,3,10,1000,6648
kdTree,3,16,1000,9732
